QR2
,PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,SATnew
641,N397119410208,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
642,N376119418207,2018,F,Physical Sciences,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
643,N321118418223,2018,M,Philosophy,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
646,N339119418208,2018,M,Arts & Humanities,Undecided,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
647,N398119410207,2018,M,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
648,N333119413212,2018,M,"Philosophy, Politics and Economics",Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
649,N379119412216,2018,F,Literature,Arts & Humanities,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
653,N303119408209,2018,F,Anthropology,Urban Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
654,N307119402208,2018,F,Urban Studies,Environmental Studies,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
656,N360116405246,2018,F,Environmental Studies,Anthropology,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
658,N315119402209,2018,F,"Philosophy, Politics and Economics",Literature,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
659,N306119401208,2018,F,Psychology,Urban Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
660,N377119414216,2018,M,Literature,Life Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
662,N328119405212,2018,M,"Philosophy, Politics and Economics",Global Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
663,N316119424219,2018,F,Arts & Humanities,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
666,N353119425208,2018,M,Urban Studies,Anthropology,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
667,N377119413208,2018,M,Arts & Humanities,Physical Sciences,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
668,N332119401209,2018,F,Philosophy,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
669,N359117405268,2018,F,Arts & Humanities,Urban Studies,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
670,N323119401209,2018,F,Undecided,Undecided,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
673,N314119402219,2018,F,Psychology,Arts & Humanities,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,762.279411764706
674,N334119412212,2018,M,"Mathematical, Computational and Statistical Sciences",Psychology,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
675,N306119402209,2018,M,History,Global Affairs,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
678,N329119401212,2018,F,Environmental Studies,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
679,N337119421209,2018,M,Life Sciences,NA,690,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720
682,N391118421237,2018,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
683,N379119408209,2018,F,Undecided,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
686,N384119421207,2018,F,Arts & Humanities,Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
689,N320119425201,2018,M,"Philosophy, Politics and Economics",Psychology,NA,NA,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
690,N326119424209,2018,M,Philosophy,Psychology,NA,NA,NA,NA,NA,NA,A,B,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
