PIN,Sex,Region,Year,Major,Grade,Exam1,Exam2,TRAT,Instructor,Writing,IRAT,Present,Report,Peer,Reading,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
N326112424279,M,South Asia,ay1415,GLOBAL AFFAIRS,77.366,70.5,76,94.9,74.8,72.7,65.6,83.3,80,82.9,NA,75,60,20,83.33,60,33.33,0,80,40,100,50,50,40,60,100,66.67,,,,,100,100,90,100,90,100,85,100,100,100,87.5,90,85,100,100,100,80,NA,NA,NA
N327112423279,F,Singapore,ay1415,LITERATURE,84.101,93,78,89.7,81.8,87,79.9,90,77.1,86.4,NA,62.5,60,40,83.33,80,50,40,80,80,100,100,50,80,40,83.33,100,,,,,81.25,80,90,91.66666667,100,83.33333333,40,100,100,83.33333333,100,100,75,100,100,100,100,NA,NA,NA
N328112421279,M,Singapore,ay1415,DDP LAW,76.872,79.5,65,92.1,76.4,58.5,78.1,90,78.6,77.5,NA,62.5,100,0,83.33,80,33.33,40,20,0,100,66.67,100,40,100,83.33,66.67,,,,,100,100,70,100,100,87.5,60,100,100,83.33333333,100,85,90,100,100,100,100,NA,NA,NA
N329112418279,F,Singapore,ay1415,PHILOSOPHY,78.784,7,82,92.7,69.8,73.1,77.4,86.7,71.4,82.8,NA,75,80,80,83.33,100,66.67,40,100,40,66.67,83.33,50,80,20,83.33,0,,,,,90.625,100,90,100,100,100,60,100,90,91.66666667,87.5,75,90,88,100,100,100,NA,NA,NA
N330112408279,M,Other,ay1415,LIFE SCIENCES,77.239,81,66,92.1,64.5,68.3,85.9,90,78.6,71.8,NA,62.5,100,60,83.33,80,50,80,80,100,66.67,66.67,50,100,100,100,0,,,,,100,100,70,100,100,87.5,60,100,100,83.33333333,100,85,90,100,100,100,100,NA,NA,NA
N331112405279,M,Singapore,ay1415,PSYCHOLOGY,78.178,86,82,92.1,68.4,76,77.61630185,90,78.57142857,64.59685847,NA,75,100,80,50,80,66.67,20,60,60,100,50,75,60,80,100,66.67,,,,,100,100,70,100,100,87.5,60,100,100,83.33333333,100,85,90,100,100,100,100,NA,NA,NA
N332112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,83.322,100,80.5,93,60.5,96.8,79.9,76.7,78.6,84.4,NA,75,60,80,66.67,100,50,40,80,60,100,66.67,100,40,80,100,66.67,,,,,100,100,100,91.66666667,90,75,75,100,100,83.33333333,100,80,90,100,100,100,100,NA,NA,NA
N333112402279,F,Singapore,ay1415,ANTHROPOLOGY,64.751,65,57.5,90.4,54.9,58.6,66.4,96.7,42.9,69.1,NA,62.5,0,40,50,80,0,0,100,80,66.67,33.33,75,60,80,0,50,,,,,90.625,85,75,100,85,91.66666667,55,100,100,79.16666667,100,85,90,100,100,85,100,NA,NA,NA
N336112423279,F,Other,ay1415,ARTS AND HUMANITIES,73.037,81,68.5,90.1,76.1,63.3,62,80,87.1,59,NA,37.5,80,40,66.67,80,33.33,0,0,60,33.33,16.67,75,60,60,66.67,50,,,,,90.625,100,80,100,100,87.5,65,100,90,91.66666667,100,75,100,100,100,90,90,NA,NA,NA
N337112421279,F,Singapore,ay1415,ECONOMICS,83.783,87,88,98.3,74.1,75.6,79.1,83.3,91.4,78.8,NA,50,80,60,66.67,100,66.67,60,80,0,66.67,83.33,100,60,60,100,100,,,,,100,100,90,100,100,100,100,100,100,100,100,90,85,100,100,100,100,NA,NA,NA
N338112418279,F,Singapore,ay1415,ANTHROPOLOGY,76.455,55,84,92.3,72.6,80.3,64.2,83.3,81.4,80.1,NA,62.5,40,80,83.33,60,50,20,60,60,66.67,50,0,60,80,50,83.33,,,,,93.75,90,85,100,100,91.66666667,85,100,90,91.66666667,87.5,85,85,100,100,100,100,NA,NA,NA
N339112414279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,85.425,100,87.5,96.4,88.3,81.4,77.8,90,78.6,79.9,NA,50,100,40,66.67,100,66.67,20,60,80,66.67,50,75,60,100,100,100,,,,,100,100,100,100,100,91.66666667,75,100,100,100,100,90,80,100,100,100,100,NA,NA,NA
N340112405279,F,Singapore,ay1415,URBAN STUDIES,72.711,74,56.5,91.8,70.4,78.1,63.3,76.7,70,78.2,NA,25,40,60,16.67,80,33.33,0,60,60,100,50,25,80,80,66.67,83.33,,,,,93.75,100,90,100,100,79.16666667,75,100,90,70.83333333,100,90,85,100,91.66666667,90,100,NA,NA,NA
N342112402279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.514,81,71.5,93.4,84,76,91.6,86.7,60,83.9,NA,87.5,100,100,33.33,100,100,100,80,60,100,100,100,80,100,0,0,,,,,93.75,100,90,83.33333333,100,100,80,100,70,91.66666667,100,100,100,92,92,100,90,NA,NA,NA
N343112425279,M,Southeast Asia,ay1415,GLOBAL AFFAIRS,79.411,86,80,92.7,91,80.3,77.3,86.7,71.4,64.1,NA,50,100,20,83.33,80,100,20,80,60,66.67,66.67,50,60,100,83.33,50,,,,,90.625,100,90,100,100,100,60,100,90,91.66666667,87.5,75,90,88,100,100,100,NA,NA,NA
N344112424279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.199,79,73.5,96.4,76.4,81.4,68.6,90,78.6,72.3,NA,62.5,0,60,83.33,80,33.33,40,60,60,33.33,66.67,25,60,40,100,100,,,,,100,100,100,100,100,91.66666667,75,100,100,100,100,90,80,100,100,100,100,NA,NA,NA
N346112421279,M,Singapore,ay1415,PSYCHOLOGY,78.851,78,83.5,98.3,74.1,63.1,65.3,83.3,91.4,77.1,NA,62.5,60,60,50,100,83.33,0,80,20,100,16.67,50,40,60,83.33,50,,,,,100,100,90,100,100,100,100,100,100,100,100,90,85,100,100,100,100,NA,NA,NA
N347112418279,F,Singapore,ay1415,PSYCHOLOGY,70.784,85.5,51,93.4,69.8,73.8,61.7,86.7,60,70.4,NA,62.5,60,60,33.33,80,50,20,40,60,66.67,33.33,50,20,0,83.33,50,,,,,93.75,100,90,83.33333333,100,100,80,100,70,91.66666667,100,100,100,92,92,100,90,NA,NA,NA
N349112413279,F,North America,ay1415,URBAN STUDIES,82.676,84.8,78.5,96.4,88.3,72.7,78.4,90,78.6,83.1,NA,75,60,80,66.67,80,33.33,60,80,100,100,83.33,75,60,80,83.33,83.33,,,,,100,100,100,100,100,91.66666667,75,100,100,100,100,90,80,100,100,100,100,NA,NA,NA
N350112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.294,100,81.5,97.8,83.5,77,90.5,86.7,87.1,89,NA,62.5,100,60,100,80,100,40,100,100,100,100,75,100,80,100,100,,,,,100,100,75,100,100,100,100,100,100,100,100,90,100,100,100,100,100,NA,NA,NA
N351112402279,F,Singapore,ay1415,GLOBAL AFFAIRS,75.805,67,63,89.7,74.8,86,61,90,77.1,82.7,NA,75,100,20,66.67,60,16.67,0,60,0,33.33,50,50,80,80,100,83.33,,,,,81.25,80,90,91.66666667,100,83.33333333,40,100,100,83.33333333,100,100,75,100,100,100,100,NA,NA,NA
N352112425279,M,Singapore,ay1415,DDP LAW,79.033,73.5,74,89.7,74.8,66,85.9,90,77.1,81,NA,62.5,80,100,66.67,100,66.67,60,100,60,100,100,0,100,80,100,16.67,,,,,81.25,80,90,91.66666667,100,83.33333333,40,100,100,83.33333333,100,100,75,100,100,100,100,NA,NA,NA
N353112424279,F,Singapore,ay1415,ARTS AND HUMANITIES,65.439,37.5,44,90.9,58,72.7,66.5,76.7,80,62.3,NA,62.5,80,40,100,80,66.67,0,40,0,66.67,16.67,100,0,80,66.67,100,,,,,93.75,85,85,91.66666667,100,91.66666667,70,90,100,87.5,100,85,80,92,100,100,100,NA,NA,NA
N354112423279,M,Singapore,ay1415,ECONOMICS,89.548,100,98,96.4,88.3,88,88.4,90,78.6,85.5,NA,75,80,80,100,80,83.33,60,100,100,100,66.67,50,100,80,100,100,,,,,100,100,100,100,100,91.66666667,75,100,100,100,100,90,80,100,100,100,100,NA,NA,NA
N355112421279,F,Singapore,ay1415,ANTHROPOLOGY,72.731,66.5,68,94.5,64.5,68.9,58.9,80,88.6,69.8,NA,62.5,60,60,50,40,50,0,60,60,66.67,33.33,25,20,80,50,100,,,,,100,85,90,100,100,100,90,100,10,75,100,80,100,100,100,100,100,NA,NA,NA
N356112418279,F,Europe,ay1415,GLOBAL AFFAIRS,79.361,80,66.5,93.6,69.8,78.2,77.2,90,92.9,70.4,NA,75,20,40,100,80,50,40,60,100,66.67,100,50,80,60,83.33,100,,,,,93.75,85,85,100,100,100,90,100,100,83.33333333,100,65,90,100,100,100,100,NA,NA,NA
N391113401219,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,72.904,78.5,69.5,96.5,71.3,66.7,63.1,93.3,60,74.7,NA,75,80,20,83.33,80,66.67,20,60,20,66.67,50,0,80,60,66.67,50,,,,,100,90,65,100,100,91.66666667,100,100,100,91.66666667,100,100,100,100,100,100,100,NA,NA,NA
N392113402219,F,Singapore,ay1415,HISTORY,69.886,78,54,94.3,56.2,74.9,57.4,90,60,78.2,NA,50,20,20,0,60,66.67,20,80,40,66.67,50,25,60,40,66.67,83.33,,,,,81.25,100,90,100,100,100,90,100,90,70.83333333,100,90,90,100,83.33333333,100,100,NA,NA,NA
N393113425219,F,Southeast Asia,ay1415,DDP LAW,78.739,74,93.5,92.3,61.2,84.2,73.2,83.3,81.4,72.3,NA,50,40,60,100,80,66.67,40,80,60,100,66.67,25,60,60,100,100,,,,,93.75,90,85,100,100,91.66666667,85,100,90,91.66666667,87.5,85,85,100,100,100,100,NA,NA,NA
N394113424219,F,Singapore,ay1415,HISTORY,73.458,56,58,90.1,60.1,77,68.7,80,87.1,80.2,NA,37.5,60,60,50,100,100,20,80,60,66.67,83.33,0,40,0,83.33,83.33,,,,,90.625,100,80,100,100,87.5,65,100,90,91.66666667,100,75,100,100,100,90,90,NA,NA,NA
N395113423219,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,79,79,92.1,80.4,60.7,84.5,90,78.6,87.8,NA,87.5,80,60,83.33,100,66.67,40,100,80,66.67,66.67,75,60,80,100,100,,,,,100,100,70,100,100,87.5,60,100,100,83.33333333,100,85,90,100,100,100,100,NA,NA,NA
N396113421219,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.906,62,NA,93,76.4,82.5,79.5,76.7,78.6,80.7,NA,50,100,80,83.33,80,66.67,60,100,80,66.67,50,75,80,60,100,66.67,,,,,100,100,100,91.66666667,90,75,75,100,100,83.33333333,100,80,90,100,100,100,100,NA,NA,NA
N365113414221,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,63.773,53,47.5,94.3,52.7,57.3,57.7,90,60,72.3,NA,50,100,60,0,80,33.33,0,60,0,66.67,0,0,60,0,83.33,0,,,,,81.25,100,90,100,100,100,90,100,90,71,100,90,90,100,83,100,100,NA,NA,NA
N366113413221,F,North America,ay1415,LIFE SCIENCES,88.072,93,100,92.4,90.3,86.2,81.4,90,78.6,88.6,NA,87.5,80,100,100,100,83.33,20,100,40,66.67,33.33,75,40,80,100,100,,,,,100,100,75,100,100,91.66666667,65,100,60,75,100,90,100,100,100,90,100,NA,NA,NA
N367113412221,M,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,95,91,94.8,78.9,81.3,90.8,83.3,65.7,76.4,NA,87.5,100,100,66.67,100,83.33,100,0,20,100,0,75,60,80,100,0,,,,,100,100,90,100,100,100,100,100,90,71,100,90,90,100,100,100,100,NA,NA,NA
N368113410221,M,East Asia,ay1415,HISTORY,77.7,60,82,93,80.4,81.4,75.8,76.7,78.6,73.7,NA,87.5,40,80,83.33,100,16.67,0,60,40,100,50,50,60,100,100,83.33,,,,,100,100,100,91.66666667,90,75,75,100,100,83.33333333,100,80,90,100,100,100,100,NA,NA,NA
N369113408221,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.842,NA,94,94.3,77.5,75.7,91.2,90,60,86.2,NA,62.5,100,40,100,80,100,100,0,60,100,66.67,100,80,100,100,100,,,,,81.25,100,90,100,100,100,90,100,90,70.83333333,100,90,90,100,83.33333333,100,100,NA,NA,NA
N370113424221,M,North America,ay1415,LIFE SCIENCES,81.706,88,72,90.1,89.9,73,80.8,83.3,71.4,88.6,NA,75,80,80,100,100,66.67,20,40,60,66.67,50,100,60,80,100,50,,,,,87.5,85,90,100,100,87.5,55,90,100,75,100,90,90,100,100,100,100,NA,NA,NA
N372113421221,F,Other,ay1415,LIFE SCIENCES,78.545,72,70.5,91.8,81.1,74.9,82.2,76.7,70,85.2,NA,62.5,80,80,100,80,66.67,0,80,60,66.67,66.67,100,60,80,100,83.33,,,,,93.75,100,90,100,100,79.16666667,75,100,90,70.83333333,100,90,85,100,91.66666667,90,100,NA,NA,NA
N374113414221,M,Other,ay1415,ECONOMICS,75.529,69,76.5,94.7,64.5,84.6,60.6,93.3,80,71.4,NA,25,80,20,66.67,60,33.33,0,80,60,66.67,50,0,20,60,66.67,100,,,,,75,100,85,100,100,100,100,100,90,87.5,100,90,100,100,100,100,100,NA,NA,NA
N376113412221,M,Other,ay1415,HISTORY,75.601,85.5,34,91,69.8,71.7,80.5,90,82.9,75.5,NA,50,80,60,83.33,40,33.33,0,60,100,100,100,100,80,60,83.33,100,,,,,93.75,90,90,100,90,91.66666667,80,80,100,91.66666667,100,70,90,91.66666667,100,85,100,NA,NA,NA
N377113410221,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.258,66,89.5,92.7,76.9,76.7,83.6,86.7,71.4,82.2,NA,75,80,80,100,100,66.67,40,80,60,66.67,50,50,60,80,83.33,100,,,,,90.625,100,90,100,100,100,60,100,90,91.66666667,87.5,75,90,88,100,100,100,NA,NA,NA
N378113408221,F,East Asia,ay1415,GLOBAL AFFAIRS,82.163,88,80.5,98.3,64.5,88,61.4,83.3,91.4,88.2,NA,37.5,40,60,0,80,0,0,60,0,0,33.33,75,60,100,0,0,,,,,100,100,90,100,100,100,100,100,100,100,100,90,85,100,100,100,100,NA,NA,NA
N379113405221,F,South Asia,ay1415,LITERATURE,70.495,39,72.5,92.3,78.9,55,59.7,83.3,81.4,75.8,NA,50,40,0,50,40,33.33,40,60,40,33.33,50,25,40,80,83.33,83.33,,,,,93.75,90,85,100,100,91.66666667,85,100,90,91.66666667,87.5,85,85,100,100,100,100,NA,NA,NA
N380113423221,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.12,88.5,55.5,91,76.9,75.3,69.4,90,82.9,73.2,NA,37.5,100,60,66.67,40,50,20,80,60,66.67,33.33,25,40,0,83.33,100,,,,,93.75,90,90,100,90,91.66666667,80,80,100,91.66666667,100,70,90,91.66666667,100,85,100,NA,NA,NA
N381113421221,F,Other,ay1415,ECONOMICS,74.839,87,56,93.4,69.8,75.3,70.2,86.7,60,83.7,NA,62.5,80,60,50,60,83.33,40,80,40,66.67,66.67,50,80,20,83.33,83.33,,,,,93.75,100,90,83.33333333,100,100,80,100,70,91.66666667,100,100,100,92,92,100,90,NA,NA,NA
N382113418221,F,Other,ay1415,GLOBAL AFFAIRS,79.039,NA,81.5,91.4,81.1,74.9,59.9,93.3,90,73.7,NA,75,20,20,50,40,50,40,60,40,0,50,0,40,60,66.67,83.33,,,,,93.75,100,90,100,85,100,75,100,100,91.66666667,100,90,80,100,91.66666667,55,100,NA,NA,NA
N385113412221,F,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.504,88,91.5,93,88.3,80.3,79.9,76.7,78.6,85.3,NA,87.5,100,80,83.33,80,66.67,20,40,60,66.67,66.67,75,80,80,83.33,100,,,,,100,100,100,91.66666667,90,75,75,100,100,83.33333333,100,80,90,100,100,100,100,NA,NA,NA
N386113410221,F,North America,ay1415,ENVIRONMENTAL STUDIES,76.512,64.5,81.5,94.7,74.1,60.9,70,93.3,80,77.6,NA,50,100,40,50,60,50,0,100,20,33.33,0,50,40,100,100,100,,,,,75,100,85,100,100,100,100,100,90,88,100,90,100,100,100,100,100,NA,NA,NA
N388113405221,F,North America,ay1415,PHILOSOPHY,76.87,93,70.5,90.4,88.5,79,75.8,96.7,42.9,77.1,NA,75,80,60,100,60,50,40,80,0,100,33.33,75,40,80,83.33,100,,,,,90.625,85,75,100,85,91.66666667,55,100,100,79.16666667,100,85,90,100,100,85,100,NA,NA,NA
N389113401221,F,Europe,ay1415,LITERATURE,72.409,85,65.5,96.5,62.5,64.7,64.8,93.3,60,75.2,NA,37.5,40,20,66.67,80,66.67,0,80,60,66.67,33.33,0,60,40,83.33,100,,,,,100,90,65,100,100,91.66666667,100,100,100,91.66666667,100,100,100,100,100,100,100,NA,NA,NA
N390113421221,F,South Asia,ay1415,ECONOMICS,73.211,69,59,91.8,77.5,57.3,71.3,76.7,70,84.3,NA,62.5,100,80,66.67,80,0,40,60,60,66.67,66.67,25,80,60,66.67,83.33,,,,,93.75,100,90,100,100,79.16666667,75,100,90,70.83333333,100,90,85,100,91.66666667,90,100,NA,NA,NA
N308113412226,F,Singapore,ay1415,GLOBAL AFFAIRS,72.539,77.5,72,92.4,73.9,70.6,54.6,90,78.6,62.1,NA,25,20,20,0,60,0,0,60,20,66.67,50,25,60,80,66.67,66.67,,,,,100,100,75,100,100,91.66666667,65,100,60,75,100,90,100,100,100,90,100,NA,NA,NA
N309113410226,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.187,100,73.5,92.1,80.4,86.9,80.6,90,78.6,96.1,NA,87.5,60,60,83.33,80,66.67,40,100,80,100,66.67,100,60,60,100,100,,,,,100,100,70,100,100,87.5,60,100,100,83.33333333,100,85,90,100,100,100,100,NA,NA,NA
N310113425226,F,Singapore,ay1415,PHYSICAL SCIENCES,77.824,74,77,98.1,68.8,62.8,71.1,83.3,81.4,84.6,NA,62.5,80,40,66.67,80,50,20,60,40,100,66.67,75,20,80,83.33,100,,,,,100,100,100,100,100,100,100,100,100,91.66666667,100,90,100,100,100,100,100,NA,NA,NA
N311113424226,M,Singapore,ay1415,ARTS AND HUMANITIES,75.893,72,68,96.2,76.9,75.3,83.4,83.3,76.4,59,NA,50,0,80,100,100,66.67,60,80,60,66.67,33.33,75,100,100,100,100,,,,,84.375,100,100,100,100,79.16666667,90,100,90,100,100,100,100,100,100,90,100,NA,NA,NA
N312113423226,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.68,99,98,98.1,81.5,86.2,91,83.3,81.4,82.4,NA,62.5,80,80,100,80,83.33,80,100,100,100,83.33,100,60,100,83.33,100,,,,,100,100,100,100,100,100,100,100,100,91.66666667,100,90,100,100,100,100,100,NA,NA,NA
N313113421226,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.989,99,87,95.7,84,79.6,90.2,86.7,88.6,82.3,NA,0,100,100,100,100,83.33,60,0,60,66.67,100,75,80,80,100,83.33,,,,,71.875,100,100,100,100,100,80,90,100,100,100,90,100,100,91.66666667,100,100,NA,NA,NA
N316113413226,F,Singapore,ay1415,ARTS AND HUMANITIES,75.112,77.5,43.5,94.5,64.5,63.9,81.9,80,88.6,74.9,NA,62.5,80,40,83.33,80,50,0,100,60,100,50,100,60,100,100,100,,,,,100,85,90,100,100,100,90,100,10,75,100,80,100,100,100,100,100,NA,NA,NA
N317113412226,F,Singapore,ay1415,URBAN STUDIES,80.374,88,87,90.1,75,69.1,72.5,83.3,71.4,90.5,NA,25,60,20,66.67,100,0,20,80,40,66.67,50,0,80,60,100,100,,,,,87.5,85,90,100,100,87.5,55,90,100,75,100,90,90,100,100,100,100,NA,NA,NA
N318113410226,F,Singapore,ay1415,ECONOMICS,79.678,75,75,92.4,87.8,84.2,66.9,90,78.6,78.7,NA,50,60,60,100,60,66.67,20,80,40,66.67,66.67,75,40,0,83.33,66.67,,,,,100,100,75,100,100,91.66666667,65,100,60,75,100,90,100,100,100,90,100,NA,NA,NA
N319113408226,F,Singapore,ay1415,URBAN STUDIES,71.442,62,82.5,93.7,65.4,75,56.5,86.7,86.4,52.1,NA,25,40,20,50,60,33.33,20,60,40,66.67,0,75,40,60,50,100,,,,,100,90,75,100,90,100,90,100,100,83,100,65,100,100,100,100,100,NA,NA,NA
N320113424226,F,Europe,ay1415,LITERATURE,73.972,71.5,65.5,89.2,69.8,75.3,73.5,86.7,65.7,76.2,NA,50,40,100,50,80,50,80,100,60,66.67,33.33,75,60,40,83.33,100,,,,,87.5,90,90,100,100,79.16666667,55,100,70,83.33333333,87.5,85,70,100,100,100,100,NA,NA,NA
N321113423226,F,Singapore,ay1415,ANTHROPOLOGY,75.277,83.5,72.5,90.1,73.9,78.9,66.3,83.3,71.4,69.6,NA,12.5,60,20,50,80,83.33,0,60,40,66.67,50,75,40,80,83.33,50,,,,,87.5,85,90,100,100,87.5,55,90,100,75,100,90,90,100,100,100,100,NA,NA,NA
N323113418226,F,Singapore,ay1415,URBAN STUDIES,84.666,NA,78,91.4,81.1,76.5,81.1,93.3,90,87.6,NA,75,80,40,83.33,80,50,40,100,60,66.67,83.33,100,60,80,100,100,,,,,93.75,100,90,100,85,100,75,100,100,91.66666667,100,90,80,100,91.66666667,55,100,NA,NA,NA
N324113414226,M,South Asia,ay1415,ENVIRONMENTAL STUDIES,79.562,93,80,96.4,68.4,69.4,84.6,90,78.6,65,NA,0,100,100,100,100,66.67,40,100,100,66.67,83.33,0,60,0,83.33,100,,,,,100,100,100,100,100,91.66666667,75,100,100,100,100,90,80,100,100,100,100,NA,NA,NA
N325113413226,F,Singapore,ay1415,HISTORY,82.851,100,78,93.6,81.8,76.5,88.5,83.3,55.7,91.9,NA,75,100,80,100,100,100,60,100,80,0,50,100,60,80,83.33,0,,,,,100,100,90,100,100,100,70,100,75,91.66666667,100,80,85,100,100,100,100,NA,NA,NA
N326113412226,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,68.56,53,45,90.9,67.8,71.7,57.2,76.7,82.9,72.9,NA,37.5,40,60,16.67,80,33.33,60,60,60,33.33,66.67,25,20,60,66.67,33.33,,,,,93.75,85,85,91.66666667,100,91.66666667,70,90,100,87.5,100,85,80,92,100,100,100,NA,NA,NA
N327113410226,M,Singapore,ay1415,LITERATURE,76.251,93,56,92.7,76.9,73.1,62.3,86.7,71.4,83.6,NA,50,60,100,83.33,80,33.33,0,100,40,33.33,50,25,80,20,66.67,66.67,,,,,90.625,100,90,100,100,100,60,100,90,91.66666667,87.5,75,90,88,100,100,100,NA,NA,NA
N328113408226,F,Singapore,ay1415,DDP LAW,80.769,84.5,97.5,91,69.8,76.7,68.9,90,82.9,76.6,NA,62.5,60,80,0,80,50,20,40,60,66.67,100,100,0,60,50,66.67,,,,,93.75,90,90,100,90,91.66666667,80,80,100,91.66666667,100,70,90,91.66666667,100,85,100,NA,NA,NA
N329113405226,F,Singapore,ay1415,HISTORY,78.179,86,76,96.5,77.7,78.4,72.9,93.3,60,78.6,NA,62.5,80,80,83.33,80,16.67,60,40,80,0,50,0,80,80,100,100,,,,,100,90,65,100,100,91.66666667,100,100,100,91.66666667,100,100,100,100,100,100,100,NA,NA,NA
N331113421226,F,Singapore,ay1415,LIFE SCIENCES,76.357,67,80.5,95.7,69.8,75.3,55.2,86.7,88.6,77.6,NA,50,80,80,33.33,100,16.67,40,100,20,0,33.33,0,20,0,66.67,0,,,,,71.875,100,100,100,100,100,80,90,100,100,100,90,100,100,92,100,100,NA,NA,NA
N332113418226,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.212,88,88,97.8,83.5,84.8,88.2,86.7,87.1,89.2,NA,62.5,100,80,0,100,100,80,100,60,100,83.33,75,60,100,100,100,,,,,100,100,75,100,100,100,100,100,100,100,100,90,100,100,100,100,100,NA,NA,NA
N333113414226,F,Singapore,ay1415,HISTORY,76.126,71,56,94.8,78.9,90.3,71.9,83.3,65.7,80.3,NA,50,80,0,83.33,60,0,40,40,60,0,66.67,50,100,40,83.33,100,,,,,100,100,90,100,100,100,100,100,90,70.83333333,100,90,90,100,100,100,100,NA,NA,NA
N398113418236,F,Singapore,ay1415,ANTHROPOLOGY,77.351,10,52.5,91,69.8,76.7,73.9,90,82.9,82,NA,62.5,80,60,83.33,60,66.67,40,60,80,33.33,66.67,25,80,60,100,0,,,,,93.75,90,90,100,90,91.66666667,80,80,100,91.66666667,100,70,90,91.66666667,100,85,100,NA,NA,NA
N325113408238,F,Singapore,ay1415,ANTHROPOLOGY,72.719,81,77,93.4,69.8,71,57.1,86.7,60,75.6,NA,37.5,0,0,66.67,0,33.33,0,100,20,33.33,0,75,60,100,50,66.67,,,,,93.75,100,90,83.33333333,100,100,80,100,70,92,100,100,100,92,92,100,90,NA,NA,NA
N332113424241,M,Singapore,ay1415,ANTHROPOLOGY,72.914,58.8,70,94.5,60.5,81.4,55.9,80,88.6,72.1,NA,50,0,40,83.33,60,16.67,20,60,60,66.67,33.33,25,20,20,83.33,0,,,,,100,85,90,100,100,100,90,100,10,75,100,80,100,100,100,100,100,NA,NA,NA
N331109413242,M,Singapore,ay1516,HISTORY,83.16,87,82.5,92.64583333,75.04166667,78.68,75.61,86.66666667,87.28571429,83.17880793,NA,83.33,40,50,EX,60,EX,60,50,20,75,100,60,60,100,83.33,50,66.67,80,40,60,100,70,62.5,100,90,90,100,88,40,100,100,75,80,100,100,91.66666667,100,90,90,90
N339112413213,F,Singapore,ay1516,ANTHROPOLOGY,88.9,98,95.5,96.12083333,78.69565217,90.47,83.77,86.66666667,86.4,80,NA,83.33,80,50,100,60,80,100,50,60,75,75,100,60,83.33,83.33,100,83.33,80,60,100,100,85,81.25,100,80,100,100,92,85,100,100,100,100,85,100,91.66666667,100,100,60,100
N378112402216,M,Southeast Asia,ay1516,PHYSICAL SCIENCES,83.42,87,81,95.14583333,88.69565217,79.2,75.27,90,78.24285714,80.43636367,NA,100,80,100,100,60,100,80,67,20,25,100,60,20,50,66.67,100,50,100,20,80,100,90,87.5,100,65,90,100,79,30,100,87.5,100,85,90,100,87.5,87.5,100,70,100
N311112425217,F,Singapore,ay1516,ANTHROPOLOGY,83.63,100,82,94.32916667,68.69565217,76.39,78.37,83.33333333,83.82857143,80,NA,83.33,60,75,83.33,40,60,60,33,60,25,75,EX,EX,66.67,83.33,83.33,50,60,80,EX,100,70,75,100,70,100,90,88,70,100,81.25,100,85,100,100,91.66666667,100,85,90,100
N312112410220,F,East Asia,ay1516,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",87.99,98,93,89.1875,92.69565217,85.6,80.96,83.33333333,78.1,83.45609947,NA,100,60,50,50,40,80,60,50,20,100,75,60,40,0,0,83.33,66.67,100,80,0,100,85,87.5,100,75,85,90,100,85,100,81.25,100,100,100,91.66666667,91.66666667,100,100,100,100
N323113418280,F,Singapore,ay1516,ARTS AND HUMANITIES,80.73,79.5,86,89.79583333,74.43333333,81.25,75.63,86.66666667,79.42857143,76.75675673,NA,100,80,75,83.33,60,60,60,83,60,75,100,EX,60,66.67,0,100,66.67,100,60,100,100,100,87.5,100,90,100,100,100,90,100,87.5,100,90,100,83.33333333,91.66666667,100,100,100,100
N324113414280,F,Singapore,ay1516,DDP LAW,85.71,100,86.5,94.60416667,79.04166667,86.61,80.92,76.66666667,82.52857143,76.9032258,NA,100,60,50,100,80,80,100,100,80,100,75,100,100,83.33,83.33,83.33,100,100,100,80,100,90,81.25,100,70,100,100,100,100,100,87.5,100,90,100,100,91.66666667,100,100,100,100
